Date,NGDP,WSGDP,COFS,Tax,DR,DCPS,AGRO,GREV,GEXP,taxProfit,energyTotal,energyPopul,energyPrice,indexInstitute,indexBureau,indexPayment,indexDemocracy,UNEMPL,INFL,RealInc,bvQ1,bvQ2,bvQ3,bvCrisis,M1,M2,M0,CH,NPLa,NPLp,SID,CM,vTax
2012 Q4,18768.8897270778,43.3,5956.183,14,6,43.9139602428073,7.3,12855.5406211199,12894.9867466683,1059.98225,1063319.5,137126.6,1933.49,-1.90517279531168,-0.124747998584166,-0.20870945666956,-0.701087286526802,3.86666666666667,1.34589244560002,22591.8923146808,0,0,0,0,13694,27164.6,6430.1,486578,1122.802562,4.19544859398576,4977.898,21.9262680105726,2627.6445617909
2013 Q1,16370.0028965064,47.8,6416.946,14.3,6.13333333333335,44.9416576955499,7.225,12896.6403370588,13006.9704700695,981.207139,1061195.275,138087.725,1987.2875,-1.89015506908733,-0.122273277637643,-0.0605716306374401,-0.480611827164435,5.83333333333333,1.88065246880003,20052.2113117359,1,0,0,0,13393.4,27198.6,6181.4,477267,1170.36314,4.33607141630093,4790.192,23.5929275771547,2340.91041420041
2013 Q2,17507.8817812809,47.7,6166.627,14.7,5.80000000000001,45.9693551482925,7.15,12937.7400529977,13118.9541934708,972.213749,1059071.05,139048.85,2041.085,-1.87513734286297,-0.119798556691119,0.0838844350956542,-0.26013636780207,5.4,1.59829413720001,21834.6794415247,0,1,0,0,13983.7,28212.3,6470.3,475224,1191.422347,4.21205440277279,4951.261,21.8579378498031,2573.65862184829
2013 Q3,19003.4693107336,45.1,6456.461,13.3,5.36666666666668,46.9970526010351,7.075,12978.8397689366,13230.937916872,976.752312,1056946.825,140009.975,2094.8825,-1.86011961663862,-0.117323835744595,0.236389937500724,-0.0396609084397031,5.26666666666667,1.17316641080001,21105.5509568435,0,0,1,0,13841.2,28352.6,6414.4,479451,1257.386334,4.18818821442516,5109.129,22.7720244351488,2527.46141832756
2013 Q4,20104.3471418184,45,6391.159,13.1,5.06666666666666,48.0247500537777,7,13019.9394848755,13342.9216402732,1287.064331,1054822.6,140971.1,2148.68,-1.84510189041427,-0.114849114798071,0.369803223359029,0.180814550922664,5.5,1.64897127920003,23354.1813601058,0,0,0,0,15511.9,31155.6,6985.6,469605,1257.907899,4.01689082783306,5722.239,20.5136765140135,2633.66947557821
2014 Q1,17311.3936353865,49.9,6970.309,14.4,5.15333333333332,49.7266325137611,6.925,13389.1747375715,13715.0852079458,1044.339127,1057355.975,142273.975,2137.185,-1.84789451787655,-0.0419688830614931,0.392781143651952,0.314677203109854,5.53333333333333,2.32733012599997,20619.536081221,1,0,0,0,14743,29519.3,6608.2,442776,1370.581748,4.28009785613803,5707.239,23.6127177812482,2492.84068349565
2014 Q2,19044.1893878062,48.6,6591.978,15.1,5.23333333333333,51.4285149737445,6.85,13758.4099902674,14087.2487756183,1125.67106,1059889.35,143576.85,2125.69,-1.85068714533883,0.0309113486750846,0.411541427826577,0.448539855297045,5.03333333333333,2.43931021999997,22074.6254547381,0,1,0,0,14940.8,30073.1,6763.5,431958,1513.847042,4.43108527726208,5757.204,21.9198486354915,2875.67259755873
2014 Q3,20544.0041772045,46.1,6750.137,13.3,5.62666666666667,53.1303974337279,6.775,14127.6452429634,14459.4123432908,1163.129086,1062422.725,144879.725,2114.195,-1.85347977280112,0.103791580411662,0.491288403163938,0.582402507484235,4.86666666666667,1.38592864399998,20958.4423202965,0,0,1,1,14747,30297.6,6959.3,409224,1601.154622,4.54880347094014,5739.132,22.2794445764681,2732.3525555682
2014 Q4,22130.4528743369,45.5,6949.236,13.1,8.15666666666668,54.8322798937112,6.7,14496.8804956593,14831.5759109634,1307.886067,1064956.1,146182.6,2102.7,-1.8562724002634,0.17667181214824,0.58712558902466,0.716265159671424,5.2,4.7857909952,22494.2871412893,0,0,0,1,15341.4,31615.7,7171.5,339371,1725.934218,4.70222171295565,7241.169,21.9803325562932,2899.08932653813
2015 Q1,18467.9128044457,50.2,7159.556,13.1,11.57,55.1122155926236,6.7,14287.4711065871,15028.7450756909,1110.541889,1063666.675,146271.525,2124.16,-1.88892101415439,0.169150766566092,0.595371603805849,0.621077804519498,5.73333333333333,7.439951187,18519.9701934983,1,0,0,1,14749.8,31028.8,6540.9,309093,2022.885878,5.75316079183926,6986.477,23.0739055329243,2419.29657738239
