Date,NGDP,WSGDP,Tax,DCPS,AGRO,GREV,GEXP,indexInstitute,indexBureau,indexPayment,indexDemocracy,NPLa,NPLp,SID,Unempl,bvQ1,bvQ2,bvQ3,M2,M1,M0,CH,DR,CM,vTax
2018 Q2,123373.9,26.424659201397,15.6218893238592,22.3881413875493,21.6433852446403,38127.4729087018,38320.4715202259,-1.63793634704359,0.0342212319735467,1.8286997492537,2.00609960638592,1017.1205,1.36374885440735,37773.56,6.55,0,1,0,148248.26295118,148248.26295118,81058.26922053,1363.12955955,6.91405770421138,54.6773821203042,19273.3341125288
2018 Q3,159387.3,26.2455271385358,15.8836286216223,22.8814767398168,20.9518080472939,44199.8170882944,44231.2633880171,-1.62197762699083,0.0729325333053468,2.00370411979557,2.05694581471355,1059.1644,1.36880912858577,41189.8,6.375,0,0,1,149891.18637661,149891.18637661,83431.44832709,1366.72303474,7.31361444732534,55.6613436346176,25316.486802031
2018 Q4,181475.4,26.0663950756746,16.1453679193854,23.3748120920843,20.2602308499475,48320.429447373,50292.9648247131,-1.60601890693807,0.111643834637147,2.17870849033743,2.10779202304117,1025.1235,1.29163899626758,44606.04,6.2,0,0,0,148420.84732878,148420.84732878,84826.7284685,1316.20033469,7.07396435184943,57.1528393720815,29299.8710131763
2019 Q1,111636.3,26.222642441256,16.1881991746893,23.6846436771948,19.7311374392578,33732.7344,31083.03557119,-1.58864506653651,0.0563987435857408,2.32964451811855,2.14833750930713,1122.4605,1.38290596569125,46278.24275,6.025,1,0,0,158195.28433865,158195.28433865,82414.57021182,1236.31245507,6.9228849100718,52.096730036146,18071.9065952537
2019 Q2,134036,26.3788898068374,16.2310304299933,23.9944752623053,19.2020440285682,39530.5281390161,39344.8455172567,-1.57127122613495,0.00115365253433483,2.48058054589967,2.18888299557308,1148.4282,1.3013677384697,47950.4455,5.85,0,1,0,171676.27203103,171676.27203103,90093.32891708,1204.7793123,6.78410314525416,52.4786144591932,21755.4239471458
2019 Q3,175516,26.5351371724188,16.2738616852973,24.3043068474158,18.6729506178785,46582.5649652357,47415.4416296475,-1.55389738573338,-0.0540914385170712,2.63151657368079,2.22942848183903,1219.4949,1.33132252391356,49622.64825,5.675,0,0,1,175630.33144296,175630.33144296,93994.1184697,1113.00167717,7.28886569624816,53.5181581093962,28563.2310755664
2019 Q4,197914.4,26.6913845380003,16.3166929406012,24.6141384325263,18.1438572071888,53518.2480601309,53656.2566070219,-1.53652354533182,-0.109336529568477,2.78245260146191,2.26997396810498,1161.556,1.22298620189673,51294.851,5.5,0,0,0,178507.19648828,178507.19648828,96009.9073972,1128.34307344,6.9108052023881,53.7848945510181,32293.0849332333
2020 Q1,117150.9,27.313607860824,15.5271620848859,25.5745982340032,18.1739815688956,30367.0166,35934.73487228,-1.58401245191226,-0.107280579790996,2.9132856182873,2.14911969371573,1582.595,1.64232446185861,53107.55325,5.575,1,0,0,187297.57613981,187297.57613981,94731.71706533,1320.8246261,6.46079557566219,50.5781863373483,18190.2101269026
2020 Q2,122725.1,27.9358311836478,14.7376312291705,26.53505803548,18.2041059306024,30873.1463690836,39345.9224640786,-1.63150135849269,-0.105224630013514,3.04411863511269,2.02826541932649,2010.5351,1.98939796741934,54920.2555,5.65,0,1,0,210934.78123728,210934.78123728,114299.52527642,1496.35541329,6.82395837992021,54.1871400278197,18086.7726636308
2020 Q3,173410.8,28.5580545064715,13.9481003734552,27.4955178369569,18.2342302923092,43120.4608225883,49648.1088613882,-1.67899026507313,-0.103168680236032,3.17495165193808,1.90741114493724,1857.6047,1.74638083911065,56732.95775,5.725,0,0,1,215649.0618799,215649.0618799,123808.88319481,1424.39858371,6.90472786748111,57.4122057919093,24187.5124424116
2020 Q4,188533.5,29.1802778292953,13.1585695177398,28.4559776384337,18.264354654016,47691.7812024708,53865.2956765116,-1.72647917165356,-0.10111273045855,3.30578466876347,1.78655687054799,1756.2432,1.61108197371761,58545.66,5.8,0,0,0,212092.19049104,212092.19049104,124171.88795389,1386.1200454,6.69303223235674,58.5461858196687,24808.311661728
