Date,NGDP,WSGDP,COFS,Tax,DR,DCPS,AGRO,GREV,GEXP,taxProfit,energyTotal,energyPopul,energyPrice,indexInstitute,indexNonDemocratic,indexBureau,pcUpward1,pcUpward2,pcDownward,indexPayment,indexDemocracy,UNEMPL,INFL,bvQ1,bvQ2,bvQ3,bvCrisis,M2,M0,CH,NPLa,NPLp,SID,CM,vTax
2011 Q2,14434.8223058143,44.7,4903.415,15.3,4.1,42.2693256155864,7.7,9836.53349470428,10521.5359424573,903.9481925,1030877.3,128991.9,1726.555,-1.93268949459634,-0.0262281850345361,-0.0215736136779248,-0.0736549620224086,-0.14640320024847,0.0370378338614961,-1.66142875278849,-1.85100368995966,6.56666666666667,1.14416174719998,0,1,0,0,20721.9,5192.2,484015,950.225414,5.32586401036495,3585.095,23.6629604428165,2208.52781278958
2011 Q3,15745.5835665553,42.4,5178.107,14.5,4,41.983965798777,7.7,10602.093058681,10723.5766803973,942.296994,1035999.7,129940.6,1820.3325,-1.93296789209116,-0.0360726415965814,-0.0061025689232376,-0.086092145597166,-0.134238418262875,0.0354657623225877,-1.48682436042574,-1.8788189041699,6.2,-0.289876009599987,0,0,1,0,21480.4,5420.4,472496,1005.569972,5.15312845055356,3995.038,24.106194484274,2283.10961715051
2011 Q4,16908.7954270198,42.6,5406.157,14.5,5.2,41.6986059819676,7.7,11367.6526226577,10925.6174183373,980.6457955,1041122.1,130889.3,1914.11,-1.93324628958598,-0.0459170981586267,0.00936847583144969,-0.0985293291719233,-0.122073636277279,0.0338936907836794,-1.22032048139638,-1.90663411838014,6.26666666666667,1.34598487039999,0,0,0,0,24204.8,5938.6,453952,994.103338,4.64891963640227,4190.553,22.3350616406663,2451.77533691787
2012 Q1,15182.7763973366,46.1,5921.011,14.5,5.5,42.2524445471775,7.6,11739.6246222732,11417.9597504201,1000.479909125,1046671.45,132448.625,1918.955,-1.92603355041502,-0.00377938353583881,-0.00858123757170103,-0.0594873592242992,-0.131866376933293,0.0560831894349038,-1.04100382949394,-1.769876246222,4.73333333333333,1.45690672999998,1,0,0,0,23747.8,5704.3,465664,1064.742832,4.8659618332828,4291.702,24.9328822038252,2201.50257761381
2012 Q2,16435.9955688377,45.3,5691.008,15.7,5.4,42.8062831123874,7.5,12111.5966218888,11910.3020825028,1020.31402275,1052220.8,134007.95,1923.8,-1.91882081124406,0.038358331086949,-0.0265309509748517,-0.0204453892766751,-0.141659117589307,0.0782726880861282,-0.794794902544269,-1.63311837406386,4.06666666666667,1.7290133468,0,1,0,0,24461,6003.9,467992,1080.745031,4.64827545362247,4423.59,23.2656391807367,2580.45130430752
2012 Q3,17715.7879353873,43,5989.26,13.7,5.3,43.3601216775973,7.4,12483.5686215043,12402.6444145856,1040.148136375,1057770.15,135567.275,1928.645,-1.91160807207309,0.0804960457097369,-0.0444806643780023,0.0185965806709491,-0.151451858245321,0.100462186737353,-0.603304350465433,-1.49636050190573,3.86666666666667,1.888551765,0,0,1,0,24437.8,5969.2,476380,1133.203873,4.55706406554811,4463.663,24.5081799507321,2427.06294714806
2012 Q4,18768.8897270778,43.3,5956.183,14,6,43.9139602428073,7.3,12855.5406211199,12894.9867466683,1059.98225,1063319.5,137126.6,1933.49,-1.90439533290213,0.122633760332525,-0.0624303777811531,0.0576385506185733,-0.161244598901335,0.122651685388577,-0.37055349767454,-1.35960262974759,3.86666666666667,1.34589244560002,0,0,0,0,27164.6,6430.1,486578,1122.802562,4.19544859398576,4977.898,21.9262680105726,2627.6445617909
2013 Q1,16370.0028965064,47.8,6416.946,14.3,6.13333333333335,44.9416576955499,7.225,12896.6403370588,13006.9704700695,981.207139,1061195.275,138087.725,1987.2875,-1.88902149620818,0.150419954874998,-0.0634485559584502,0.0848022886164327,-0.154205105966821,0.134002571711424,-0.178320110256137,-1.19730473191783,5.83333333333333,1.88065246880003,1,0,0,0,27198.6,6181.4,477267,1170.36314,4.33607141630093,4790.192,23.5929275771547,2340.91041420041
2013 Q2,17507.8817812809,47.7,6166.627,14.7,5.80000000000001,45.9693551482925,7.15,12937.7400529977,13118.9541934708,972.213749,1059071.05,139048.85,2041.085,-1.87364765951423,0.178206149417471,-0.0644667341357475,0.111966026614292,-0.147165613032306,0.14535345803427,-0.0247401985281534,-1.03500683408807,5.4,1.59829413720001,0,1,0,0,28212.3,6470.3,475224,1191.422347,4.21205440277279,4951.261,21.8579378498031,2573.65862184829
2013 Q3,19003.4693107336,45.1,6456.461,13.3,5.36666666666668,46.9970526010351,7.075,12978.8397689366,13230.937916872,976.752312,1056946.825,140009.975,2094.8825,-1.85827382282028,0.205992343959944,-0.0654849123130447,0.139129764612151,-0.140126120097792,0.156704344357116,0.15061802575227,-0.872708936258308,5.26666666666667,1.17316641080001,0,0,1,0,28352.6,6414.4,479451,1257.386334,4.18818821442516,5109.129,22.7720244351488,2527.46141832756
