Date,NGDP,WSGDP,Tax,DCPS,AGRO,GREV,GEXP,indexInstitute,indexBureau,indexDemocracy,NPLp,SID,Unempl,bvQ1,bvQ2,bvQ3,vTax
2012 Q4,1355461.2,26.9844684598866,9.15541883456347,40.0600551046667,37.2783083219645,243774.125,259236.1,-0.932719916353989,-0.261813085858361,-0.821447788992668,3.66922217057882,254676.1,15.7,0,0,0,124098.15
2013 Q1,784166.2,26.9987084669457,15.0059898016517,40.6401014502303,37.0195664365241,251688.6625,267588.075,-0.911412103710162,-0.268032053188826,-0.679595211454546,5.63013986135377,254850.1,16.9,1,0,0,117671.9
2013 Q2,978205.1,27.0129484740049,12.5035843710077,41.2201477957939,36.7608245510837,259603.2,275940.05,-0.890104291066334,-0.27425102051929,-0.537742633916425,6.05984437063195,261801.1,16.2,0,1,0,122310.7
2013 Q3,1363072.3,27.0271884810641,9.89465489101348,41.8001941413575,36.5020826656432,267517.7375,284292.025,-0.868796478422506,-0.280469987849755,-0.395890056378303,5.58396419437326,278530.9,15.4,0,0,1,134871.3
2013 Q4,1430194.6,27.0414284881232,9.19974107020122,42.380240486921,36.2433407802028,275432.275,292644,-0.847488665778679,-0.28668895518022,-0.254037478840181,4.48533892299217,279650,16.2,0,0,0,131574.2
2014 Q1,814938.4,26.8964578975667,14.2786375019265,44.0144736417868,35.8900485935332,280210.9875,298780.225,-0.86842263718114,-0.198580644522837,-0.183019965792109,5.9911646635825,286193.1,17.7,1,0,0,116362.1
2014 Q2,1030592.9,26.7514873070102,13.2366524162936,45.6487067966526,35.5367564068636,284989.7,304916.45,-0.889356608583601,-0.110472333865455,-0.112002452744037,6.0842787023446,287954.2,17.5,0,1,0,136416
2014 Q3,1443501.1,26.6065167164537,10.2547549149772,47.2829399515183,35.1834642201941,289768.4125,311052.675,-0.910290579986062,-0.0223640232080724,-0.0409849396959649,6.63977118239889,296515.7,17.1,0,0,1,148027.5
2014 Q4,1539593.9,26.4615461258972,9.45244716804867,48.9171731063841,34.8301720335245,294547.125,317188.9,-0.931224551388523,0.0657442874493101,0.0300325733521071,6.96975042813576,311730.3,17.8,0,0,0,145529.3
2015 Q1,879565.7,26.9074543825183,13.9524767734804,48.0955754822741,34.9563042069446,296017.09375,328139.8375,-0.92934585863325,0.0538301831312723,0.014834325072404,8.28071415889465,327738.3,19.6,1,0,0,122721.2
2015 Q2,1105248,27.3533626391393,11.0078371551,47.273977858164,35.0824363803647,297487.0625,339090.775,-0.927467165877977,0.0419160788132346,-0.000363923207298968,9.16388416647021,328363.5,18,0,1,0,121663.9
2015 Q3,1523902.7,27.7992708957604,10.0074827612025,46.452380234054,35.2085685537848,298957.03125,350041.7125,-0.925588473122705,0.0300019744951969,-0.0155621714870018,8.46162481555331,336645,16.3,0,0,1,152504.3
2015 Q4,1534916.8,28.2451791523814,9.0501126836321,45.630782609944,35.3347007272049,300427,360992.65,-0.923709780367432,0.0180878701771591,-0.0307604197667048,7.94971668385926,368363.3,19.5,0,0,0,138911.7
2016 Q1,893634.2,28.4538150391383,12.4414665419027,46.4419980510273,34.901442957449,300680.5875,363572.66875,-0.925932431507815,0.0701794786785379,0.447952367737613,10.2171239833608,380378.8,18.3,1,0,0,111181.2
2016 Q2,1132260.6,28.6624509258952,10.3129261938462,47.2532134921106,34.4681851876931,300934.175,366152.6875,-0.928155082648197,0.122271087179917,0.92666515524193,9.33584756216355,416709.5,18.4,0,1,0,116769.2
2016 Q3,1525628.4,28.8710868126521,8.68023956554558,48.064428933194,34.0349274179372,301187.7625,368732.70625,-0.930377733788581,0.174362695681296,1.40537794274625,9.73391550589145,476642.6,18.1,0,0,1,132428.2
