Date,NGDP,WSGDP,COFS,Slr,AGRO,GREV,GEXP,taxProfit,CH,SID,SED,NPLa,NPLp,indexInstitute,indexBureau,indexPayment,indexDemocracy,Unempl,INFL,RealInc,bvQ1,bvQ2,bvQ3,M2,M0,DR,CM,Tax
2013-4,12231.0317,29.5694033725708,1512.16,3616.6431,23.8900621923382,398.89705625,428.29445625,990.8363,4636.8,3633.7,5100,1284.293,16.1817837959272,-1.76598351007354,-0.553320348146286,0.0795540569877406,0.567703719217071,5.2,1.50711049999999,85059.1021461407,0,0,0,8677.614,1512.261,6.3,17.4259882958611,8.10100345010143
2014-1,7933.8275,26.4742547024119,1319.787,2100.4217,22.2948779624624,413.567740625,442.968771875,824.0879,5026.75,3696.4,5000,1387.365,17.4708422621697,-1.70749132055221,-0.409138529344157,0.0935054734296907,0.59947255332309,5.1,3.33330199999999,76690.5749051589,1,0,0,8929.817,1319.887,6.7,14.779552593295,10.3870155987132
2014-2,8549.1247,33.1503200555725,1452.109,2834.0622,22.7741902967623,428.238425,457.6430875,806.2023,5416.7,3921.5,5000,1333.813,16.4300259308071,-1.64899913103087,-0.264956710542028,0.100838361519167,0.631241387429107,5.1,1.50721079999998,83842.6884769288,0,1,0,9735.021,1452.216,7.2,14.9163417315689,9.43023207978239
2014-3,10558.0351,32.1086591197258,1369.207,3390.0435,22.2963503496562,442.909109375,472.317403125,916.0145,5806.65,4283.2,5000,1273.822,15.0103343035245,-1.59050694150954,-0.120774891739899,0.188999926360991,0.663010221535124,5,1.00290199999997,83982.6399159647,0,0,1,9549.403,1369.299,7.6,14.3381423948701,8.6759940777238
2014-4,12634.8456,32.8416059156275,1121.545,4149.4862,21.0824390666236,457.57979375,486.99171875,935.512099999999,6196.6,4220.4,7900,910.657,10.6322413454116,-1.5320147519882,0.0234069270622301,0.287161461262423,0.694779055641143,5,1.507412,88638.2656965525,0,0,0,7967.715,1122.319,7,14.0761184354611,7.40422265231321
2015-1,8267.5177,27.9647444843088,1036.379,2311.9902,16.9724383545885,462.478671875,493.7921828125,513.2551,6528.9,4339,7700,926.35,11.0008146552441,-1.5046112250059,0.0212928201072356,0.380639317377121,0.761123863635121,5,1.1034024,79484.2773226238,1,0,0,7794.242,1037.126,8,13.296725967708,6.20809194034141
2015-2,8536.9004,35.7809164553448,1142.921,3054.5812,18.4750661665036,467.37755,500.592646875,550.0554,4550.09,4280.1,7700,607.211,7.48939391771585,-1.47720769802359,0.019178713152241,0.246018874436256,0.827468671629101,5,0.299899699999973,82979.9009137626,0,1,0,8524.463,1143.598,7.6,13.4075425044369,6.44326833191119
2015-3,10632.1186,31.9484199508459,1197.866,3396.7939,19.173053804835,472.276428125,507.3931109375,712.9408,9266.7,4472.3,11800,592.942,7.03594139543604,-1.44980417104129,0.0170646061972465,0.272576959172801,0.893813479623082,4.9,1.40430299999998,82113.339919295,0,0,1,8430.69,1199.959,8.6,14.2083981263693,6.70553844273332
2015-4,13447.5969,32.7046321562479,1236.033,4397.9871,17.3446461114381,477.17530625,514.193575,786.5307,10469.5,4706,12700,533.335,6.34838427379988,-1.42240064405898,0.0149504992422519,0.38564518425481,0.96015828761706,5,10.4015088,81201.5838474998,0,0,0,8597.832,1236.973,8,14.3761008589142,5.84885690617333
2016-1,9309.0909,27.5476899683083,1301.269,2564.4395,15.0746586791683,503.3265609375,533.0474453125,756.1214,9517.5,4874.5,12700,607.421,7.49073309716677,-1.42746860132458,0.0229507831477615,0.428832807904826,1.0670274832582,5.1,2.92637149999997,76965.4021596334,1,0,0,9738.474,1302.768,11.8,13.362144828851,8.12239785949453
